UNIQUE_CARRIER,AIRLINE_ID,UNIQUE_CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER,CARRIER_NAME,CARRIER_GROUP,CARRIER_GROUP_NEW
B6,20409,JetBlue Airways,6673,D,B6,JetBlue Airways,3,3
VX,21171,Virgin America,1006,D,VX,Virgin America,3,3
VX,21171,Virgin America,1006,D,VX,Virgin America,3,3
04Q,21080,Tradewind Aviation,1126,D,04Q,Tradewind Aviation,1,6
AJQ,20354,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,6081,D,AJQ,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,1,5
AJQ,20354,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,6081,D,AJQ,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,1,5
AJQ,20354,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,6081,D,AJQ,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,1,5
AJQ,20354,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,6081,D,AJQ,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,1,5
AJQ,20354,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,6081,D,AJQ,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,1,5
AJQ,20354,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,6081,D,AJQ,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,1,5
AMQ,20201,Ameristar Air Cargo,6055,D,AMQ,Ameristar Air Cargo,1,4
AMQ,20201,Ameristar Air Cargo,6055,D,AMQ,Ameristar Air Cargo,1,4
G4,20368,Allegiant Air,6035,D,G4,Allegiant Air,3,3
G4,20368,Allegiant Air,6035,D,G4,Allegiant Air,3,3
0WQ,21352,Avjet Corporation,1150,D,0WQ,Avjet Corporation,1,1
0WQ,21352,Avjet Corporation,1150,D,0WQ,Avjet Corporation,1,1
0WQ,21352,Avjet Corporation,1150,D,0WQ,Avjet Corporation,1,1
0WQ,21352,Avjet Corporation,1150,D,0WQ,Avjet Corporation,1,1
AA,19805,American Airlines Inc.,0A050,D,AA,American Airlines Inc.,3,3
AA,19805,American Airlines Inc.,0A050,D,AA,American Airlines Inc.,3,3
DL,19790,Delta Air Lines Inc.,1260,D,DL,Delta Air Lines Inc.,3,3
DL,19790,Delta Air Lines Inc.,1260,D,DL,Delta Air Lines Inc.,3,3
DL,19790,Delta Air Lines Inc.,1260,D,DL,Delta Air Lines Inc.,3,3
DL,19790,Delta Air Lines Inc.,1260,D,DL,Delta Air Lines Inc.,3,3
DL,19790,Delta Air Lines Inc.,1260,D,DL,Delta Air Lines Inc.,3,3
DL,19790,Delta Air Lines Inc.,1260,D,DL,Delta Air Lines Inc.,3,3
DL,19790,Delta Air Lines Inc.,1260,D,DL,Delta Air Lines Inc.,3,3
DL,19790,Delta Air Lines Inc.,1260,D,DL,Delta Air Lines Inc.,3,3
DL,19790,Delta Air Lines Inc.,1260,D,DL,Delta Air Lines Inc.,3,3
DL,19790,Delta Air Lines Inc.,1260,D,DL,Delta Air Lines Inc.,3,3
DL,19790,Delta Air Lines Inc.,1260,D,DL,Delta Air Lines Inc.,3,3
DL,19790,Delta Air Lines Inc.,1260,D,DL,Delta Air Lines Inc.,3,3
DL,19790,Delta Air Lines Inc.,1260,D,DL,Delta Air Lines Inc.,3,3
DL,19790,Delta Air Lines Inc.,1260,D,DL,Delta Air Lines Inc.,3,3
DL,19790,Delta Air Lines Inc.,1260,D,DL,Delta Air Lines Inc.,3,3
DL,19790,Delta Air Lines Inc.,1260,D,DL,Delta Air Lines Inc.,3,3
DL,19790,Delta Air Lines Inc.,1260,D,DL,Delta Air Lines Inc.,3,3
DL,19790,Delta Air Lines Inc.,1260,D,DL,Delta Air Lines Inc.,3,3
