AIRLINE_ID,ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,YEAR,QUARTER,MONTH,DISTANCE_GROUP,CLASS,PAYLOAD,SEATS,PASSENGERS,FREIGHT,MAIL,DISTANCE,RAMP_TO_RAMP,AIR_TIME
20409,12954,11292,2017,2,6,2,F,37400,150,146,0,0,854,124,107
21171,11292,14771,2017,2,6,2,F,37822,119,117,0,0,967,144,125
21171,14771,11292,2017,2,6,2,F,37822,119,119,0,0,967,162,121
21080,11423,10325,2017,2,6,2,L,5300,8,2,0,0,604,120,108
20354,11292,11315,2017,2,6,1,L,10841,50,43,0,0,488,91,72
20354,11292,12389,2017,2,6,2,L,23500,100,41,0,0,576,200,165
20354,11315,11292,2017,2,6,1,L,10841,50,35,0,0,488,91,82
20354,11503,15016,2017,2,6,2,L,12659,50,22,0,0,889,131,116
20354,15016,11503,2017,2,6,2,L,10808,50,38,0,0,889,143,124
20354,12544,11503,2017,2,6,3,L,12659,50,0,0,0,1464,206,196
20201,10397,11292,2017,2,6,3,P,21458,0,0,800,0,1199,178,168
20201,11292,11996,2017,2,6,3,P,21458,0,0,0,0,1278,181,167
20368,11109,15570,2017,2,6,2,L,95000,215,156,0,0,761,132,120
20368,12889,11109,2017,2,6,2,L,95000,215,0,0,0,604,96,72
21352,10372,10800,2017,2,6,2,L,2000,8,3,0,0,725,122,113
21352,10800,11503,2017,2,6,2,L,4000,16,4,0,0,735,234,210
21352,11503,10800,2017,2,6,2,L,4000,16,3,0,0,735,233,209
21352,14869,10372,2017,2,6,1,L,2000,8,2,0,0,292,54,47
19805,11292,14107,2017,2,6,2,L,51700,187,62,0,0,602,164,88
19805,14100,11292,2017,2,6,4,L,51700,187,56,0,0,1558,260,216
19790,10397,11109,2017,2,6,3,F,49760,199,160,0,0,1184,169,152
19790,10397,11292,2017,2,6,3,F,34446,132,30,0,0,1199,212,172
19790,10397,11292,2017,2,6,3,F,50700,192,150,14,39,1199,174,156
19790,11109,10397,2017,2,6,3,F,49760,199,160,0,0,1184,166,148
19790,11109,11298,2017,2,6,2,F,38879,160,139,0,0,592,91,75
19790,11122,11292,2017,2,6,1,F,29900,110,103,492,0,230,83,54
19790,11292,10397,2017,2,6,3,F,34446,132,4,0,0,1199,153,132
19790,11292,10397,2017,2,6,3,F,50700,192,129,0,0,1199,173,152
19790,11292,10397,2017,2,6,3,L,49760,72,62,0,0,1199,167,143
19790,11292,11193,2017,2,6,3,L,49760,72,0,0,0,1069,142,128
19790,11292,11433,2017,2,6,3,F,32870,149,148,0,0,1123,158,137
19790,11292,11775,2017,2,6,1,F,38470,158,150,32,0,483,152,126
19790,11292,12889,2017,2,6,2,F,38170,158,149,0,0,628,118,92
19790,11292,14679,2017,2,6,2,F,38170,158,102,70,4,853,142,115
19790,11292,14869,2017,2,6,1,L,49760,72,50,0,0,391,92,70
19790,11433,11292,2017,2,6,3,F,32870,149,147,5,0,1123,178,151
19790,13487,11292,2017,2,6,2,F,49760,199,160,28,0,680,142,101
19790,13851,11292,2017,2,6,1,F,38170,158,156,0,226,495,115,76
19790,14771,11292,2017,2,6,2,L,99520,144,61,0,0,967,280,229
19790,14869,11292,2017,2,6,1,L,49760,72,52,0,0,391,84,53
