ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_FIPS,ORIGIN_STATE_NM,ORIGIN_WAC
12954,1295403,32575,LGB,"Long Beach, CA",CA,6,California,91
11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82
14771,1477102,32457,SFO,"San Francisco, CA",CA,6,California,91
11423,1142304,31423,DSM,"Des Moines, IA",IA,19,Iowa,61
11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82
11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82
11315,1131502,31315,DIK,"Dickinson, ND",ND,38,North Dakota,66
11503,1150303,31503,EGE,"Eagle, CO",CO,8,Colorado,82
15016,1501603,31123,STL,"St. Louis, MO",MO,29,Missouri,64
12544,1254403,32544,USA,"CONCORD, NC",NC,37,North Carolina,36
10397,1039705,30397,ATL,"Atlanta, GA",GA,13,Georgia,34
11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82
11109,1110902,30189,COS,"Colorado Springs, CO",CO,8,Colorado,82
12889,1288903,32211,LAS,"Las Vegas, NV",NV,32,Nevada,85
10372,1037203,30372,ASE,"Aspen, CO",CO,8,Colorado,82
10800,1080003,32575,BUR,"Burbank, CA",CA,6,California,91
11503,1150303,31503,EGE,"Eagle, CO",CO,8,Colorado,82
14869,1486903,34614,SLC,"Salt Lake City, UT",UT,49,Utah,87
11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82
14100,1410002,34100,PHL,"Philadelphia, PA",PA,42,Pennsylvania,23
10397,1039705,30397,ATL,"Atlanta, GA",GA,13,Georgia,34
10397,1039705,30397,ATL,"Atlanta, GA",GA,13,Georgia,34
10397,1039705,30397,ATL,"Atlanta, GA",GA,13,Georgia,34
11109,1110902,30189,COS,"Colorado Springs, CO",CO,8,Colorado,82
11109,1110902,30189,COS,"Colorado Springs, CO",CO,8,Colorado,82
11122,1112203,31122,CPR,"Casper, WY",WY,56,Wyoming,88
11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82
11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82
11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82
11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82
11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82
11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82
11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82
11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82
11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82
11433,1143302,31295,DTW,"Detroit, MI",MI,26,Michigan,43
13487,1348702,31650,MSP,"Minneapolis, MN",MN,27,Minnesota,63
13851,1385103,33851,OKC,"Oklahoma City, OK",OK,40,Oklahoma,73
14771,1477102,32457,SFO,"San Francisco, CA",CA,6,California,91
14869,1486903,34614,SLC,"Salt Lake City, UT",UT,49,Utah,87
10529,1052904,30529,BDL,"Hartford, CT",CT,9,Connecticut,11
