"DEPARTURES_SCHEDULED","DEPARTURES_PERFORMED","PAYLOAD","SEATS","PASSENGERS","FREIGHT","MAIL","DISTANCE","RAMP_TO_RAMP","AIR_TIME","UNIQUE_CARRIER","AIRLINE_ID","UNIQUE_CARRIER_NAME","UNIQUE_CARRIER_ENTITY","REGION","CARRIER","CARRIER_NAME","CARRIER_GROUP","CARRIER_GROUP_NEW","ORIGIN_AIRPORT_ID","ORIGIN_AIRPORT_SEQ_ID","ORIGIN_CITY_MARKET_ID","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_ABR","ORIGIN_STATE_FIPS","ORIGIN_STATE_NM","ORIGIN_WAC","DEST_AIRPORT_ID","DEST_AIRPORT_SEQ_ID","DEST_CITY_MARKET_ID","DEST","DEST_CITY_NAME","DEST_STATE_ABR","DEST_STATE_FIPS","DEST_STATE_NM","DEST_WAC","AIRCRAFT_GROUP","AIRCRAFT_TYPE","AIRCRAFT_CONFIG","YEAR","QUARTER","MONTH","DISTANCE_GROUP","CLASS",
0.00,1.00,37400.00,150.00,146.00,0.00,0.00,854.00,124.00,107.00,"B6",20409,"JetBlue Airways","06673","D","B6","JetBlue Airways",3,3,12954,1295403,32575,"LGB","Long Beach, CA","CA","06","California",91,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,6,"694",1,2017,2,6,2,"F",
0.00,1.00,37822.00,119.00,117.00,0.00,0.00,967.00,144.00,125.00,"VX",21171,"Virgin America","01006","D","VX","Virgin America",3,3,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,14771,1477102,32457,"SFO","San Francisco, CA","CA","06","California",91,6,"698",1,2017,2,6,2,"F",
0.00,1.00,37822.00,119.00,119.00,0.00,0.00,967.00,162.00,121.00,"VX",21171,"Virgin America","01006","D","VX","Virgin America",3,3,14771,1477102,32457,"SFO","San Francisco, CA","CA","06","California",91,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,6,"698",1,2017,2,6,2,"F",
0.00,1.00,5300.00,8.00,2.00,0.00,0.00,604.00,120.00,108.00,"04Q",21080,"Tradewind Aviation","01126","D","04Q","Tradewind Aviation",1,6,11423,1142304,31423,"DSM","Des Moines, IA","IA","19","Iowa",61,10325,1032504,30325,"APA","Denver, CO","CO","08","Colorado",82,6,"646",1,2017,2,6,2,"L",
0.00,1.00,10841.00,50.00,43.00,0.00,0.00,488.00,91.00,72.00,"AJQ",20354,"Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways","06081","D","AJQ","Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways",1,5,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,11315,1131502,31315,"DIK","Dickinson, ND","ND","38","North Dakota",66,6,"675",1,2017,2,6,1,"L",
0.00,2.00,23500.00,100.00,41.00,0.00,0.00,576.00,200.00,165.00,"AJQ",20354,"Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways","06081","D","AJQ","Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways",1,5,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,12389,1238902,32389,"ISN","Williston, ND","ND","38","North Dakota",66,6,"675",1,2017,2,6,2,"L",
0.00,1.00,10841.00,50.00,35.00,0.00,0.00,488.00,91.00,82.00,"AJQ",20354,"Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways","06081","D","AJQ","Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways",1,5,11315,1131502,31315,"DIK","Dickinson, ND","ND","38","North Dakota",66,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,6,"675",1,2017,2,6,1,"L",
0.00,1.00,12659.00,50.00,22.00,0.00,0.00,889.00,131.00,116.00,"AJQ",20354,"Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways","06081","D","AJQ","Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways",1,5,11503,1150303,31503,"EGE","Eagle, CO","CO","08","Colorado",82,15016,1501603,31123,"STL","St. Louis, MO","MO","29","Missouri",64,6,"675",1,2017,2,6,2,"L",
0.00,1.00,10808.00,50.00,38.00,0.00,0.00,889.00,143.00,124.00,"AJQ",20354,"Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways","06081","D","AJQ","Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways",1,5,15016,1501603,31123,"STL","St. Louis, MO","MO","29","Missouri",64,11503,1150303,31503,"EGE","Eagle, CO","CO","08","Colorado",82,6,"675",1,2017,2,6,2,"L",
0.00,1.00,12659.00,50.00,0.00,0.00,0.00,1464.00,206.00,196.00,"AJQ",20354,"Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways","06081","D","AJQ","Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways",1,5,12544,1254403,32544,"USA","CONCORD, NC","NC","37","North Carolina",36,11503,1150303,31503,"EGE","Eagle, CO","CO","08","Colorado",82,6,"675",1,2017,2,6,3,"L",
